algorithm_id,metric_bin_rank,metric_value,success_rate,sample_count,metric,metric_label,algorithm_label
visibility_dijkstra,4,1.7678571428571428,0.9983870967741936,5580,scene_metric_clearance,clearance,Visibility Dijkstra
visibility_dijkstra,5,2.109160080755272,0.9952989845806695,5318,scene_metric_clearance,clearance,Visibility Dijkstra
visibility_dijkstra,6,2.565561254618426,0.9942291838417148,4852,scene_metric_clearance,clearance,Visibility Dijkstra
visibility_dijkstra,7,4.285714285714221,0.9982993197278912,5292,scene_metric_clearance,clearance,Visibility Dijkstra
visibility_dijkstra,8,6.428571428571445,1.0,5292,scene_metric_clearance,clearance,Visibility Dijkstra
grid_astar,1,0.968455551003687,0.6586057056489704,5293,scene_metric_largest_component_ratio,largest component ratio,Grid A*
grid_astar,2,0.996093273046398,0.9773242630385488,5292,scene_metric_largest_component_ratio,largest component ratio,Grid A*
grid_astar,3,0.9988128916868007,0.9894179894179894,5292,scene_metric_largest_component_ratio,largest component ratio,Grid A*
grid_astar,4,0.9995644192737634,0.9943310657596371,5292,scene_metric_largest_component_ratio,largest component ratio,Grid A*
grid_astar,5,0.9998805970144997,0.9982993197278912,5292,scene_metric_largest_component_ratio,largest component ratio,Grid A*
grid_astar,6,1.0,0.9996220710506425,15876,scene_metric_largest_component_ratio,largest component ratio,Grid A*
grid_dijkstra,1,0.968455551003687,0.6586057056489704,5293,scene_metric_largest_component_ratio,largest component ratio,Grid Dijkstra
grid_dijkstra,2,0.996093273046398,0.9773242630385488,5292,scene_metric_largest_component_ratio,largest component ratio,Grid Dijkstra
grid_dijkstra,3,0.9988128916868007,0.9894179894179894,5292,scene_metric_largest_component_ratio,largest component ratio,Grid Dijkstra
grid_dijkstra,4,0.9995644192737634,0.9943310657596371,5292,scene_metric_largest_component_ratio,largest component ratio,Grid Dijkstra
grid_dijkstra,5,0.9998805970144997,0.9982993197278912,5292,scene_metric_largest_component_ratio,largest component ratio,Grid Dijkstra
grid_dijkstra,6,1.0,0.9996220710506425,15876,scene_metric_largest_component_ratio,largest component ratio,Grid Dijkstra
rrt,1,0.968455551003687,0.6332892499527678,5293,scene_metric_largest_component_ratio,largest component ratio,RRT
rrt,2,0.996093273046398,0.8852985638699924,5292,scene_metric_largest_component_ratio,largest component ratio,RRT
rrt,3,0.9988128916868007,0.9293272864701436,5292,scene_metric_largest_component_ratio,largest component ratio,RRT
rrt,4,0.9995644192737634,0.9722222222222222,5292,scene_metric_largest_component_ratio,largest component ratio,RRT
rrt,5,0.9998805970144997,0.9964096749811036,5292,scene_metric_largest_component_ratio,largest component ratio,RRT
rrt,6,1.0,0.9990551776266062,15876,scene_metric_largest_component_ratio,largest component ratio,RRT
visibility_astar,1,0.968455551003687,0.7925562063102211,5293,scene_metric_largest_component_ratio,largest component ratio,Visibility A*
visibility_astar,2,0.996093273046398,0.9964096749811036,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility A*
visibility_astar,3,0.9988128916868007,0.999244142101285,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility A*
visibility_astar,4,0.9995644192737634,1.0,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility A*
visibility_astar,5,0.9998805970144997,1.0,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility A*
visibility_astar,6,1.0,1.0,15876,scene_metric_largest_component_ratio,largest component ratio,Visibility A*
visibility_dijkstra,1,0.968455551003687,0.7925562063102211,5293,scene_metric_largest_component_ratio,largest component ratio,Visibility Dijkstra
visibility_dijkstra,2,0.996093273046398,0.9964096749811036,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility Dijkstra
visibility_dijkstra,3,0.9988128916868007,0.999244142101285,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility Dijkstra
visibility_dijkstra,4,0.9995644192737634,1.0,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility Dijkstra
visibility_dijkstra,5,0.9998805970144997,1.0,5292,scene_metric_largest_component_ratio,largest component ratio,Visibility Dijkstra
visibility_dijkstra,6,1.0,1.0,15876,scene_metric_largest_component_ratio,largest component ratio,Visibility Dijkstra
grid_astar,1,0.0406,1.0,5298,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,2,0.0657,0.9998118178396688,5314,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,3,0.0877,1.0,5270,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,4,0.1366,0.9956505295007564,5288,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,5,0.1933,0.9737488196411709,5295,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,6,0.2948,0.9905482041587902,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,7,0.3609,0.9400756143667297,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
grid_astar,8,0.4662,0.716931216931217,5292,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid A*
