config_index,algorithm_id,median_relative_path_length,median_path_length
28,visibility_dijkstra,1.2159764465111156,163.01150022498717
29,grid_astar,1.386319723064169,170.7326643378022
29,grid_dijkstra,1.386319723064169,170.7326643378022
29,rrt,1.3688606884221841,168.13174427266767
29,visibility_astar,1.254822804908038,155.48575097091447
29,visibility_dijkstra,1.254822804908038,155.48575097091447
30,grid_astar,1.202310283750252,145.59349750521125
30,grid_dijkstra,1.202310283750252,145.59349750521125
30,rrt,1.1720717350774077,142.48112296621207
30,visibility_astar,1.0251947946628484,124.02320390492912
30,visibility_dijkstra,1.0251947946628484,124.02320390492912
31,grid_astar,1.2092698763962784,400.67596613966464
31,grid_dijkstra,1.2092698763962781,400.67596613966464
31,rrt,1.2819640742321279,421.9327633192719
31,visibility_astar,1.108308188141462,365.7302270523078
31,visibility_dijkstra,1.108308188141462,365.7302270523078
32,grid_astar,1.1230399852599335,213.81376777474253
32,grid_dijkstra,1.1230399852599333,213.81376777474247
32,rrt,1.1440261437431625,217.34008699131277
32,visibility_astar,1.0256160754524277,194.5494065977922
32,visibility_dijkstra,1.0256160754524277,194.5494065977922
33,grid_astar,1.266786236443449,283.631470083834
33,grid_dijkstra,1.2667862364434488,283.631470083834
33,rrt,1.2839901311060924,286.8410635283461
33,visibility_astar,1.170107798223654,262.9516606557978
33,visibility_dijkstra,1.170107798223654,262.9516606557978
34,grid_astar,1.248853800123607,228.4121283271108
34,grid_dijkstra,1.248853800123607,228.4121283271108
34,rrt,1.2381955330088967,226.92735344155258
34,visibility_astar,1.1636006554466372,213.25735053888673
34,visibility_dijkstra,1.1636006554466372,213.25735053888673
35,grid_astar,1.1037530586443625,204.20744290802534
35,grid_dijkstra,1.1037530586443625,204.20744290802534
35,rrt,1.10280765711236,204.65278703075296
35,visibility_astar,1.0244064347627377,188.50334345557994
35,visibility_dijkstra,1.0244064347627377,188.50334345557994
36,grid_astar,1.0819429030061687,259.467798149248
36,grid_dijkstra,1.0819429030061687,259.46779814924804
36,rrt,1.1100700503858993,266.81074909439985
36,visibility_astar,1.0180677900590136,243.9292100042842
36,visibility_dijkstra,1.0180677900590136,243.9292100042842
37,grid_astar,1.1806832716767073,279.99972633113566
37,grid_dijkstra,1.180683271676707,279.9997263311357
37,rrt,1.2004202597646678,283.2146618350709
37,visibility_astar,1.0923194611594198,258.59343614472436
37,visibility_dijkstra,1.0923194611594198,258.59343614472436
38,grid_astar,1.1046637526105578,679.0647805818708
38,grid_dijkstra,1.1046637526105578,679.0647805818708
38,rrt,1.1840368405679287,724.6490306755359
38,visibility_astar,1.033905551163252,634.9359961963008
38,visibility_dijkstra,1.033905551163252,634.9359961963008
39,grid_astar,1.0965876075555938,406.1670393544254
39,grid_dijkstra,1.0965876075555934,406.1670393544253
39,rrt,1.123373409414116,417.686757252426
39,visibility_astar,1.023454580399638,378.5854488404474
39,visibility_dijkstra,1.023454580399638,378.5854488404474
40,grid_astar,1.1327092260800218,1809.7071898789163
40,grid_dijkstra,1.132709226080022,1809.7071898789163
40,rrt,1.2125755682264667,1927.5621502627525
40,visibility_astar,1.0648436415212972,1704.6835984254762
40,visibility_dijkstra,1.0648436415212972,1704.6835984254762
41,grid_astar,1.083578662860041,407.23223491830174
41,grid_dijkstra,1.0835786628600408,407.23223491830174
41,rrt,1.1296650211331143,424.868526425466
41,visibility_astar,1.0188125329496596,381.94313473899444
41,visibility_dijkstra,1.0188125329496596,381.94313473899444
42,grid_astar,1.2721988843610839,657.2209501018398
42,grid_dijkstra,1.2721988843610839,657.2209501018398
42,rrt,1.318890548272509,681.4322497013968
42,visibility_astar,1.1907163226776727,614.4945215416228
42,visibility_dijkstra,1.1907163226776727,614.4945215416228
43,grid_astar,1.08276599801531,1049.3339376486738
43,grid_dijkstra,1.0827659980153097,1049.3339376486738
43,rrt,1.1709434314809046,1134.7073476494488
43,visibility_astar,1.0228031994142834,990.8067550039152
43,visibility_dijkstra,1.0228031994142834,990.8067550039152
44,grid_astar,1.044596635823095,1135.4533463340963
44,grid_dijkstra,1.044596635823095,1135.4533463340958
44,rrt,1.0978977853298877,1195.2561006629812
44,visibility_astar,1.0079387622610585,1095.7919649942478
44,visibility_dijkstra,1.0079387622610585,1095.7919649942478
45,grid_astar,1.0755415812787,628.5960662987768
45,grid_dijkstra,1.0755415812787001,628.5960662987768
45,rrt,1.1057555967045438,649.341192028297
45,visibility_astar,1.018711920366054,595.6437784670546
45,visibility_dijkstra,1.018711920366054,595.6437784670546
46,grid_astar,1.0653042107947766,755.9075412762437
46,grid_dijkstra,1.065304210794777,755.9075412762437
46,rrt,1.0899488849144354,773.79542635192
46,visibility_astar,1.018593775258997,723.271750048433
46,visibility_dijkstra,1.018593775258997,723.271750048433
47,grid_astar,1.0662714713147403,592.2637006269723
47,grid_dijkstra,1.0662714713147403,592.2637006269724
47,rrt,1.0485906458041325,584.6437123489318
47,visibility_astar,1.011176437879212,561.1815919571778
47,visibility_dijkstra,1.011176437879212,561.1815919571778
48,grid_astar,1.05849083404628,581.3458904860945
48,grid_dijkstra,1.05849083404628,581.3458904860945
48,rrt,1.0871657716684702,598.6049207246532
48,visibility_astar,1.01080203165386,555.3656851388278
48,visibility_dijkstra,1.01080203165386,555.3656851388278
49,grid_astar,1.1961871307180705,191.5183503885511
49,grid_dijkstra,1.1961871307180707,191.5183503885511
49,rrt,1.213996680043976,194.35089193007198
49,visibility_astar,1.0959583928365915,176.86153592027193
49,visibility_dijkstra,1.0959583928365915,176.86153592027193
50,grid_astar,1.0980898086914148,804.2369324528652
50,grid_dijkstra,1.098089808691415,804.2369324528654
50,rrt,1.2149591125976045,882.6373410345593
50,visibility_astar,1.0279894455644798,752.7767015580235
50,visibility_dijkstra,1.0279894455644798,752.7767015580235
51,grid_astar,1.0628844008090992,1297.6769224379827
51,grid_dijkstra,1.0628844008090979,1297.6769224379814
51,rrt,1.1054877173139936,1409.1455613834878
51,visibility_astar,1.0047611990865348,1215.968238387145
