algorithm_id,metric,success_spearman,runtime_spearman,quality_spearman,success_sample_size,runtime_sample_size,quality_sample_size
rrt,scene_width,-0.09803639941731677,0.6202277946556399,-0.11359087406290988,42337,42337,39234
rrt,scene_height,-0.09509234001242937,0.6137721518984237,-0.09427319469966862,42337,42337,39234
rrt,scene_obstacle_count,-0.21112978618407743,0.644189729067683,0.3555685109544048,42337,42337,39234
rrt,scene_direct_distance,-0.10595192697678808,0.6618350534755317,-0.1473415046248079,42337,42337,39234
visibility_astar,scene_metric_obstacle_area_ratio,-0.23406710837082018,0.29216363233886317,0.813448388889663,42337,42337,41216
visibility_astar,scene_metric_boundary_density,-0.2463806613797796,0.03423481450633521,0.6960986959344836,42337,42337,41216
visibility_astar,scene_metric_clearance,0.20718114429117523,0.08757328635873513,-0.4036037578052715,42337,42337,41216
visibility_astar,scene_metric_largest_component_ratio,0.26999429405189757,-0.3609131528561318,-0.7135485131762824,42337,42337,41216
visibility_astar,scene_metric_cell_density_cv,0.14840115115704217,-0.6307450163918426,-0.5525432060515829,42337,42337,41216
visibility_astar,scene_metric_radii_cv,0.10341353105004536,0.3608505881639361,-0.03060060987687583,42337,42337,41216
visibility_astar,scene_width,0.18991730808784252,0.5482646024598483,-0.09289573556951602,42337,42337,41216
visibility_astar,scene_height,0.1873635685467563,0.49002579079316144,-0.07119666642462913,42337,42337,41216
visibility_astar,scene_obstacle_count,0.07236457665879573,0.9565369030483556,0.32285996690015023,42337,42337,41216
visibility_astar,scene_direct_distance,0.1932095324309067,0.5613955921666017,-0.12086744640210047,42337,42337,41216
visibility_dijkstra,scene_metric_obstacle_area_ratio,-0.23406710837082018,0.2796731953498609,0.813448388889663,42337,42337,41216
visibility_dijkstra,scene_metric_boundary_density,-0.2463806613797796,0.023106466276724375,0.6960986959344836,42337,42337,41216
visibility_dijkstra,scene_metric_clearance,0.20718114429117523,0.09420826795676865,-0.4036037578052715,42337,42337,41216
visibility_dijkstra,scene_metric_largest_component_ratio,0.26999429405189757,-0.3506530121709555,-0.7135485131762824,42337,42337,41216
visibility_dijkstra,scene_metric_cell_density_cv,0.14840115115704217,-0.6228089162120242,-0.5525432060515829,42337,42337,41216
visibility_dijkstra,scene_metric_radii_cv,0.10341353105004536,0.36080259549125676,-0.03060060987687583,42337,42337,41216
visibility_dijkstra,scene_width,0.18991730808784252,0.551982692916548,-0.09289573556951602,42337,42337,41216
visibility_dijkstra,scene_height,0.1873635685467563,0.49283530731864345,-0.07119666642462913,42337,42337,41216
visibility_dijkstra,scene_obstacle_count,0.07236457665879573,0.9529610980401153,0.32285996690015023,42337,42337,41216
visibility_dijkstra,scene_direct_distance,0.1932095324309067,0.5648471977007857,-0.12086744640210047,42337,42337,41216
