config_index,config_name,algorithm_id,runs,runtime_ms_median,build_ms_median,search_ms_median,build_share_percent_median,search_share_percent_median,obstacle_count_median,nodes_median,edges_median
16,final53_wide_corner_arc_dense,visibility_dijkstra,800,14.1228,13.6258,0.34825,96.72902500132693,2.4503957197594612,52.0,2439.0,7335.0
17,final53_large_square_open_long_plus,grid_astar,800,35.869749999999996,28.29705,2.5311000000000003,78.87844455075101,6.985037294328766,36.0,45926.5,362790.0
17,final53_large_square_open_long_plus,grid_dijkstra,800,44.747,28.386499999999998,11.171399999999998,63.60541093538892,25.20219944181185,36.0,45926.5,362790.0
17,final53_large_square_open_long_plus,visibility_astar,800,13.33615,12.798200000000001,0.1293,96.6432456450797,0.9954503490308158,36.0,3228.5,9747.0
17,final53_large_square_open_long_plus,visibility_dijkstra,800,13.7366,12.7493,0.6456999999999999,93.59199386188072,4.652715579146935,36.0,3228.5,9747.0
18,final53_large_square_dense_multiscale,grid_astar,800,23.7432,18.7792,2.0642,79.92513572783479,8.548269705820822,57.0,32157.5,251467.0
18,final53_large_square_dense_multiscale,grid_dijkstra,800,28.1666,18.90475,6.49165,67.5212041473889,22.9892953737046,57.0,32157.5,251467.0
18,final53_large_square_dense_multiscale,visibility_astar,800,28.11135,27.32775,0.19605,97.45891450691823,0.732275565732847,57.0,5115.5,15396.0
18,final53_large_square_dense_multiscale,visibility_dijkstra,800,28.843850000000003,27.13525,1.0965,94.7144411573092,3.8667054809980552,57.0,5115.5,15396.0
19,final53_huge_square_sparse_clustered_giants,grid_astar,800,47.1631,36.42445,4.351,77.95892048355519,8.867227478467743,26.0,60974.5,481308.0
19,final53_huge_square_sparse_clustered_giants,grid_dijkstra,800,57.4263,36.918,14.34685,64.21688292957217,25.01881155357196,26.0,60974.5,481308.0
19,final53_huge_square_sparse_clustered_giants,visibility_astar,800,5.7172,5.524850000000001,0.0557,97.11788071291363,0.9980810934790697,26.0,1379.0,4170.0
19,final53_huge_square_sparse_clustered_giants,visibility_dijkstra,800,5.9344,5.53345,0.23809999999999998,94.64614052103208,3.9751416018771373,26.0,1379.0,4170.0
20,final53_huge_square_crowded_plus,grid_astar,800,70.08245,55.00565,6.2803,79.04736384604044,8.818264053727336,121.0,91344.0,717615.0
20,final53_huge_square_crowded_plus,grid_dijkstra,800,83.8788,55.353750000000005,19.860799999999998,66.19783468283217,23.65847282274577,121.0,91344.0,717615.0
20,final53_huge_square_crowded_plus,visibility_astar,800,127.53725,124.97319999999999,0.55655,98.10393603827406,0.4535244901221396,121.0,14931.5,44783.0
