algorithm_id,algorithm_label,relative_path_length
grid_astar,Grid A*,1.1503496108359916
grid_astar,Grid A*,1.0334099637118201
grid_astar,Grid A*,1.023721579197028
grid_astar,Grid A*,1.023286203037915
grid_astar,Grid A*,1.0640938661799622
grid_astar,Grid A*,1.1259249717120623
grid_astar,Grid A*,1.6839948838262802
grid_astar,Grid A*,1.134533161665945
grid_astar,Grid A*,1.1323055047843165
grid_astar,Grid A*,1.0708903305161794
grid_astar,Grid A*,1.0074203105112072
grid_astar,Grid A*,1.079064909563464
grid_astar,Grid A*,1.048327649414365
grid_astar,Grid A*,1.0908607322103372
grid_astar,Grid A*,1.0354209841752922
grid_astar,Grid A*,1.012142502372079
grid_astar,Grid A*,1.0489775760324236
grid_astar,Grid A*,1.0814028088661543
grid_astar,Grid A*,1.342659015777293
grid_astar,Grid A*,1.032226896581349
grid_astar,Grid A*,1.1009177810597253
grid_astar,Grid A*,1.0799780901642757
grid_astar,Grid A*,1.0521519122879432
grid_astar,Grid A*,1.0312161785285097
grid_astar,Grid A*,1.114127854632316
grid_astar,Grid A*,1.019085106176853
grid_astar,Grid A*,1.141275711578754
grid_astar,Grid A*,1.0651603263018343
grid_astar,Grid A*,1.4224153951733478
grid_astar,Grid A*,1.2693479249336894
grid_astar,Grid A*,1.021602540844934
grid_astar,Grid A*,1.1368336799281118
grid_astar,Grid A*,1.0622005023075198
grid_astar,Grid A*,1.032479050659565
grid_astar,Grid A*,1.020387559036115
grid_astar,Grid A*,1.0797513881427852
grid_astar,Grid A*,1.0293265449333926
grid_astar,Grid A*,1.01232869076426
grid_astar,Grid A*,1.1424339932843148
grid_astar,Grid A*,1.0226476498321337
grid_astar,Grid A*,1.2914171591939274
grid_astar,Grid A*,1.0891217535591837
grid_astar,Grid A*,1.0755457358169107
grid_astar,Grid A*,1.0677199956984487
grid_astar,Grid A*,1.0504507791708615
grid_astar,Grid A*,1.071103802509516
grid_astar,Grid A*,1.084755488133358
grid_astar,Grid A*,1.2389031760772304
grid_astar,Grid A*,1.3808825619444642
grid_astar,Grid A*,1.117637104395658
grid_astar,Grid A*,1.039571465824758
grid_astar,Grid A*,1.2556504451293589
grid_astar,Grid A*,1.018891316372483
grid_astar,Grid A*,1.037778349790841
grid_astar,Grid A*,1.066656983524906
grid_astar,Grid A*,1.022681120138971
grid_astar,Grid A*,1.0383158678976951
grid_astar,Grid A*,1.079989660614396
grid_astar,Grid A*,1.0055376145710064
grid_astar,Grid A*,1.0329260480913045
grid_astar,Grid A*,1.0323993733267336
grid_astar,Grid A*,1.0233058230972916
grid_astar,Grid A*,1.0832433696986348
grid_astar,Grid A*,1.0858017409628762
grid_astar,Grid A*,1.0815353332297462
grid_astar,Grid A*,1.0684183919604662
grid_astar,Grid A*,1.0
grid_astar,Grid A*,1.0430860622770932
grid_astar,Grid A*,1.0655484628211205
grid_astar,Grid A*,1.1008422810137481
grid_astar,Grid A*,1.014684537283745
grid_astar,Grid A*,1.0
grid_astar,Grid A*,1.056755627074228
grid_astar,Grid A*,1.1410057550585855
grid_astar,Grid A*,1.0369171397878425
grid_astar,Grid A*,1.0315590463499984
grid_astar,Grid A*,1.0229464856136523
grid_astar,Grid A*,1.0735317507047486
grid_astar,Grid A*,1.06700135305201
grid_astar,Grid A*,1.0252727779725026
grid_astar,Grid A*,1.0184225039323882
grid_astar,Grid A*,1.0829252829476483
grid_astar,Grid A*,1.0866949528054688
grid_astar,Grid A*,1.0674853492912404
grid_astar,Grid A*,1.0589425291876153
grid_astar,Grid A*,1.061168074680393
grid_astar,Grid A*,1.039473247949871
grid_astar,Grid A*,1.040281422214073
grid_astar,Grid A*,1.060150481814147
grid_astar,Grid A*,1.1098430032779147
grid_astar,Grid A*,1.0361298091492925
grid_astar,Grid A*,1.0116773237630257
grid_astar,Grid A*,1.056841077830291
grid_astar,Grid A*,1.0700799129330398
grid_astar,Grid A*,1.030330403310613
grid_astar,Grid A*,1.068980130670226
grid_astar,Grid A*,1.2638414995316396
grid_astar,Grid A*,1.029348974135085
grid_astar,Grid A*,1.071952970317481
grid_astar,Grid A*,1.0900694839983953
grid_astar,Grid A*,1.0533628987425947
grid_astar,Grid A*,1.0776105734050765
grid_astar,Grid A*,1.2493723135214585
grid_astar,Grid A*,1.12594471771522
grid_astar,Grid A*,1.0269616868746256
grid_astar,Grid A*,1.0227097138987369
grid_astar,Grid A*,1.0631833628332479
grid_astar,Grid A*,1.1332589078308275
grid_astar,Grid A*,1.205034195516412
grid_astar,Grid A*,1.0933131572621555
grid_astar,Grid A*,1.072819883353438
grid_astar,Grid A*,1.0327100995824157
grid_astar,Grid A*,1.1791589624022512
grid_astar,Grid A*,1.021808605261052
grid_astar,Grid A*,1.0268082728782426
