metric_quantile_rank,metric_value,median_relative_path_length,q25_relative_path_length,q75_relative_path_length,sample_count,algorithm_id,algorithm_label,metric,metric_label,quantile_count
5,0.3108,1.1752337569923277,1.0929409283248586,1.2777891144382165,6541,rrt,RRT,scene_metric_obstacle_area_ratio,obstacle area ratio,6
6,0.4284,1.1880010178073426,1.106516625690676,1.3145768494214338,6537,rrt,RRT,scene_metric_obstacle_area_ratio,obstacle area ratio,6
1,0.9905798159778005,1.2139800828302407,1.1190060542813005,1.3269407357192917,6539,rrt,RRT,scene_metric_largest_component_ratio,largest component ratio,5
2,0.9986399604352126,1.1392673728584188,1.0777660206915092,1.2351522317782668,6539,rrt,RRT,scene_metric_largest_component_ratio,largest component ratio,5
3,0.9996443053283062,1.0954460410513767,1.0457868518973874,1.1792339324865777,6539,rrt,RRT,scene_metric_largest_component_ratio,largest component ratio,5
4,0.9999337989467505,1.0375306821544146,1.0145526025970222,1.0867627076428215,6540,rrt,RRT,scene_metric_largest_component_ratio,largest component ratio,5
5,1.0,1.015031053451928,1.0043227067079035,1.0388598295665465,13077,rrt,RRT,scene_metric_largest_component_ratio,largest component ratio,5
1,0.008697150110098728,1.008202659307945,1.002738164458857,1.0186636498572816,6539,rrt,RRT,scene_metric_boundary_density,boundary density,6
2,0.0212016757527869,1.0306462545656612,1.0116864488460195,1.0695809883181986,6539,rrt,RRT,scene_metric_boundary_density,boundary density,6
3,0.03267443471233153,1.0578383288321163,1.0240850301410718,1.119105103267667,6539,rrt,RRT,scene_metric_boundary_density,boundary density,6
4,0.044387599948231514,1.080229777434613,1.0328021720706149,1.1631883734219974,6539,rrt,RRT,scene_metric_boundary_density,boundary density,6
5,0.06352239976891834,1.1397197774563161,1.0631313791482455,1.2522231249046154,6539,rrt,RRT,scene_metric_boundary_density,boundary density,6
6,0.1162186589245219,1.2186092910183917,1.1181177764546346,1.3317718829115335,6539,rrt,RRT,scene_metric_boundary_density,boundary density,6
1,0.0462,1.000640567476995,1.0001118597198566,1.0016347730505317,6882,visibility_astar,Visibility A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
2,0.074,1.0014523044894927,1.000519108620951,1.0030841122646186,6865,visibility_astar,Visibility A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
3,0.1229,1.0053225918410063,1.00236569713896,1.010174681720515,6871,visibility_astar,Visibility A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
4,0.196,1.0160172455993843,1.0070510390387601,1.0509946425232277,6859,visibility_astar,Visibility A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
5,0.3186,1.033828800087156,1.016105955512759,1.1330352614490793,6872,visibility_astar,Visibility A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
6,0.4268,1.0375955100927448,1.020547023037678,1.1241284387323733,6867,visibility_astar,Visibility A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
1,0.987585025269119,1.0623719427092406,1.0254132399836386,1.1587380721431988,6870,visibility_astar,Visibility A*,scene_metric_largest_component_ratio,largest component ratio,5
2,0.9982823077700314,1.0216600701928644,1.0106226672525653,1.0430120235846594,6869,visibility_astar,Visibility A*,scene_metric_largest_component_ratio,largest component ratio,5
3,0.9995436707127864,1.0137532545406311,1.0063057481280322,1.0297810398221408,6869,visibility_astar,Visibility A*,scene_metric_largest_component_ratio,largest component ratio,5
4,0.9998909457727044,1.0042622585507082,1.0014627065947277,1.0108901808597923,6870,visibility_astar,Visibility A*,scene_metric_largest_component_ratio,largest component ratio,5
5,1.0,1.0011571313188008,1.0002984176156002,1.0031983498104136,13738,visibility_astar,Visibility A*,scene_metric_largest_component_ratio,largest component ratio,5
