algorithm_id,metric,low_metric_value,high_metric_value,low_quantile_median_runtime_ms,high_quantile_median_runtime_ms,low_quantile_p90_runtime_ms,high_quantile_p90_runtime_ms,low_quantile_sample_count,high_quantile_sample_count,runtime_ratio_high_to_low,log2_runtime_ratio_high_to_low,quantile_count
rrt,scene_metric_obstacle_area_ratio,0.0559,0.4012,6.360200000000001,42.7007,62.063909999999986,583.34894,10612.0,10582.0,6.713735417125246,2.7471156827127494,4
rrt,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,5.4945,26.69135,47.70134000000003,568.8209200000013,10585.0,10584.0,4.857830557830558,2.2803121693396045,4
visibility_astar,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,73.2013,77.91069999999999,5330.003140000002,627.9440600000001,10585.0,10584.0,1.064334923013662,0.08995220698379443,4
visibility_astar,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,523.8623,49.55015,12443.089760000003,103.81602000000001,10585.0,10584.0,0.09458621091840357,-3.4022263115972833,4
visibility_astar,scene_metric_clearance,0.8571428571428612,4.994568938304912,117.4318,158.79025000000001,533.0164800000001,12658.017800000001,10585.0,10584.0,1.3521912292922362,0.4352991945509768,4
visibility_astar,scene_metric_largest_component_ratio,0.9909206873264801,1.0,281.5689,76.47085,10818.552580000001,305.30616000000003,10585.0,21168.0,0.2715884105098255,-1.8805061781056913,3
visibility_astar,scene_metric_obstacle_area_ratio,0.0559,0.4012,63.663,194.0396,245.93928999999972,4582.776959999998,10612.0,10582.0,3.0479179429181786,1.6078240626282896,4
visibility_astar,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,54.8229,146.21535,301.13972,11406.410720000005,10585.0,10584.0,2.6670488062470246,1.4152442260460487,4
visibility_dijkstra,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,76.8832,78.39295,5361.644840000003,633.7403000000002,10585.0,10584.0,1.0196369297844001,0.028055531760286377,4
visibility_dijkstra,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,525.9128,51.93325,12445.539560000005,108.29626999999999,10585.0,10584.0,0.0987487849696756,-3.3400931927774464,4
visibility_dijkstra,scene_metric_clearance,0.8571428571428612,4.994568938304912,119.5805,164.55835000000002,540.2645600000001,12707.374360000002,10585.0,10584.0,1.376130305526403,0.4606170850371314,4
visibility_dijkstra,scene_metric_largest_component_ratio,0.9909206873264801,1.0,282.7599,79.61664999999999,10894.283920000003,314.73965999999996,10585.0,21168.0,0.2815698053366124,-1.8284354627117143,3
visibility_dijkstra,scene_metric_obstacle_area_ratio,0.0559,0.4012,67.20845,196.0936,254.3782799999996,4572.297299999997,10612.0,10582.0,2.917692641327095,1.5448279133489435,4
visibility_dijkstra,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,56.531,149.613,309.69882000000007,11471.34165,10585.0,10584.0,2.6465656011745766,1.404121414908463,4
